Index,Movie,Reco
172,The Twilight Saga: Breaking Dawn - Part 2,"['Snow White and the Huntsman', 'The Twilight Saga: Eclipse', 'The Hunger Games: Mockingjay - Part 2', 'The Twilight Saga: New Moon', 'Fast Five', 'Twilight']"
173,Happy Feet 2,"['License to Wed', 'The Big Wedding', 'Night at the Museum: Secret of the Tomb', 'Old Dogs', 'Death to Smoochy', 'Flubber']"
174,The Incredible Hulk,"['I, Robot', 'Die Another Day', 'Cars', 'The Patriot', 'Bridesmaids', 'Hulk']"
175,The BFG,"['Close Encounters of the Third Kind', 'The Color Purple', '1941', 'The Lost World: Jurassic Park', 'Munich', 'The Adventures of Tintin']"
176,The Revenant,"['Django Unchained', 'The Great Gatsby', 'The Great Gatsby', 'Titanic', 'Inception', 'Blood Diamond']"
177,Turbo,"['The Last Witch Hunter', 'Atlantis: The Lost Empire', 'Max Payne', 'Resident Evil: Extinction', 'The Fourth Kind', 'The 5th Wave']"
178,Rango,"['Transcendence', 'Black Mass', 'The Tourist', 'The Tourist', 'Public Enemies', 'Finding Neverland']"
179,Penguins of Madagascar,"['The Angry Birds Movie', 'Journey to the Center of the Earth', 'Turbo', 'My Bloody Valentine', 'Atlantis: The Lost Empire', 'Journey 2: The Mysterious Island']"
180,The Bourne Ultimatum,"['The Bourne Supremacy', 'The Bourne Identity', 'True Grit', 'Elysium', 'The Adjustment Bureau', 'Dogma']"
181,Kung Fu Panda,"['Wanted', 'Salt', 'Kung Fu Panda 2', 'Lara Croft: Tomb Raider', 'Sky Captain and the World of Tomorrow', 'Girl, Interrupted']"
182,Ant-Man,"['Tomorrowland', 'What Women Want', 'Three Kings', '27 Dresses', 'Jeff, Who Lives at Home', 'American Dreamz']"
183,The Hunger Games: Catching Fire,"['The Amazing Spider-Man', 'Star Trek Into Darkness', 'Guardians of the Galaxy', 'X-Men: Days of Future Past', 'Deadpool', 'World War Z']"
184,Home,"['Home', 'Home', 'Ice Age: Continental Drift', 'Puss in Boots', 'Jumper', 'Bad Teacher']"
185,War of the Worlds,"['Minority Report', 'Jurassic Park', 'E.T. the Extra-Terrestrial', 'Jaws', 'A.I. Artificial Intelligence', 'Mission: Impossible II']"
186,Bad Boys II,"['13 Hours', 'Bad Boys', 'Pearl Harbor', 'Transformers: Age of Extinction', 'Transformers: Revenge of the Fallen', 'Transformers: Dark of the Moon']"
187,Puss in Boots,"['The Good Dinosaur', 'Bad Teacher', 'Identity Thief', 'Where the Wild Things Are', 'Resident Evil: Afterlife', 'Underworld: Awakening']"
188,Salt,"['Kung Fu Panda 2', 'Kung Fu Panda', 'Wanted', 'Lara Croft: Tomb Raider', 'Sky Captain and the World of Tomorrow', 'Girl, Interrupted']"
189,Noah,"['The Silence of the Lambs', 'The Wolfman', 'Meet Joe Black', 'The Rite', 'The Mask of Zorro', 'Legends of the Fall']"
190,The Adventures of Tintin,"['War Horse', 'The Lost World: Jurassic Park', 'Munich', 'The BFG', 'A.I. Artificial Intelligence', 'Close Encounters of the Third Kind']"
191,Harry Potter and the Prisoner of Azkaban,"['Harry Potter and the Order of the Phoenix', 'Independence Day', 'Brokeback Mountain', ""Harry Potter and the Sorcerer's Stone"", 'Harry Potter and the Goblet of Fire', 'Harry Potter and the Chamber of Secrets']"
192,Australia,"['Dune', 'Memoirs of a Geisha', 'Ali', 'The Punisher', 'Waterworld', 'Alien 3']"
193,After Earth,"['Fantastic Four', 'The Purge', 'Hansel & Gretel: Witch Hunters', 'The Green Hornet', 'The Woman in Black', 'Independence Day: Resurgence']"
194,Dinosaur,"['Stuart Little', 'Cheaper by the Dozen', 'Chicken Little', 'Scary Movie 3', 'The Pink Panther', 'Nacho Libre']"
195,Night at the Museum: Secret of the Tomb,"['One Hour Photo', 'Happy Feet 2', 'Night at the Museum: Battle of the Smithsonian', 'Patch Adams', 'Death to Smoochy', 'Old Dogs']"
196,Megamind,"['Kung Fu Panda 3', 'Burn After Reading', 'Up in the Air', 'I Love You, Man', 'Contraband', 'Thank You for Smoking']"
197,Harry Potter and the Sorcerer's Stone,"['Casino Royale', 'Casino Royale', 'Harry Potter and the Prisoner of Azkaban', 'Terminator 2: Judgment Day', 'The Matrix Reloaded', 'Harry Potter and the Goblet of Fire']"
198,R.I.P.D.,"['Zoolander 2', 'House at the End of the Street', 'The Three Musketeers', 'Your Highness', 'Vacation', 'Premium Rush']"
199,Pirates of the Caribbean: The Curse of the Black Pearl,"[""Pirates of the Caribbean: Dead Man's Chest"", ""Pirates of the Caribbean: At World's End"", 'Pirates of the Caribbean: On Stranger Tides', 'The Lone Ranger', 'Into the Woods', 'Public Enemies']"
200,The Hunger Games: Mockingjay - Part 1,"['Thor: The Dark World', 'Thor', 'American Hustle', 'The Hunger Games: Mockingjay - Part 2', 'Snow White and the Huntsman', 'The Twilight Saga: Breaking Dawn - Part 2']"
201,The Da Vinci Code,"['Angels & Demons', 'Apollo 13', 'Splash', 'A Beautiful Mind', 'How the Grinch Stole Christmas', 'Cinderella Man']"
202,Rio 2,"['Ride Along', 'Double Jeopardy', 'Starsky & Hutch', 'What Happens in Vegas', 'Fun with Dick and Jane', 'Sweet Home Alabama']"
203,X-Men 2,"['X-Men', 'X-Men Origins: Wolverine', 'X-Men: The Last Stand', 'Real Steel', 'The Wolverine', 'Chappie']"
204,Fast Five,"['X-Men: Apocalypse', 'Snow White and the Huntsman', 'The Hunger Games: Mockingjay - Part 2', 'Crazy, Stupid, Love.', 'Thor: The Dark World', 'The Twilight Saga: Breaking Dawn - Part 2']"
205,Sherlock Holmes: A Game of Shadows,"['Sherlock Holmes', 'Zodiac', 'Tropic Thunder', 'The Judge', 'Due Date', 'Iron Man 2']"
206,Clash of the Titans,"['Clash of the Titans', 'Non-Stop', 'Battleship', 'The Grey', 'Unknown', 'Unknown']"
207,Total Recall,"['Dumb & Dumber', 'School of Rock', 'Hellboy', 'Chocolat', 'Hellboy II: The Golden Army', 'Disturbia']"
208,The 13th Warrior,"['Behind Enemy Lines', 'Rat Race', 'Shanghai Noon', 'Derailed', 'Shanghai Knights', 'Stigmata']"
209,The Bourne Legacy,"['Bridesmaids', 'Sucker Punch', 'John Carter', 'The Descendants', ""We're the Millers"", 'Lone Survivor']"
210,Batman & Robin,"['Batman Forever', 'Phone Booth', 'The Number 23', 'The Lost Boys', 'The Client', 'Veronica Guerin']"
211,How the Grinch Stole Christmas,"['Ransom', 'In the Heart of the Sea', 'Cinderella Man', 'Frost/Nixon', 'A Beautiful Mind', 'Rush']"
212,The Day After Tomorrow,"['Quantum of Solace', 'Ratatouille', 'Terminator 3: Rise of the Machines', 'Hancock', 'Unbreakable', 'The Blind Side']"
213,Mission: Impossible II,"['Collateral', 'Vanilla Sky', 'Mission: Impossible', 'The Last Samurai', 'Eyes Wide Shut', 'Mission: Impossible - Ghost Protocol']"
214,The Perfect Storm,"['The World Is Not Enough', 'Die Another Day', 'xXx', 'Hitch', 'AVP: Alien vs. Predator', 'The Heat']"
215,Fantastic 4: Rise of the Silver Surfer,"['Jumper', 'Shrek Forever After', 'Ice Age: Continental Drift', 'Monsters vs. Aliens', 'The Mummy: Tomb of the Dragon Emperor', 'Puss in Boots']"
216,Life of Pi,"['Argo', 'Birdman or (The Unexpected Virtue of Ignorance)', 'The Conjuring', 'Pacific Rim', 'The Imitation Game', '12 Years a Slave']"
217,Ghost Rider,"['Knowing', 'Gone in Sixty Seconds', ""The Sorcerer's Apprentice"", 'National Treasure', 'Face/Off', 'Lord of War']"
218,Jason Bourne,"['Syriana', 'Syriana', 'Green Zone', 'Dogma', 'The Adjustment Bureau', 'Inside Job']"
219,Charlie's Angels: Full Throttle,"['The Dukes of Hazzard', 'Bringing Down the House', 'Fun with Dick and Jane', 'Maid in Manhattan', 'Rush Hour 3', 'The Time Machine']"
220,Prometheus,"['Gladiator', 'Alien', 'Black Hawk Down', 'Robin Hood', 'The Counselor', 'The Martian']"
221,Stuart Little 2,"['The Animal', 'Down to Earth', 'Are We There Yet?', 'Paul Blart: Mall Cop 2', 'Superhero Movie', 'A Haunted House']"
222,Elysium,"['True Grit', 'The Bourne Ultimatum', 'The Adjustment Bureau', 'The Bourne Supremacy', 'The Bourne Identity', 'Jason Bourne']"
223,The Chronicles of Riddick,"['Jarhead', 'Insomnia', ""A Knight's Tale"", 'We Were Soldiers', 'Pitch Black', 'Enemy of the State']"
224,RoboCop,"['RoboCop', 'Dawn of the Planet of the Apes', 'Red Riding Hood', 'Lost in Space', 'The Unborn', 'The Unborn']"
225,Speed Racer,"['The Interpreter', 'Hannibal Rising', ""He's Just Not That Into You"", 'Dreamgirls', 'Edge of Darkness', 'Paycheck']"
226,How Do You Know,"['Collateral Damage', 'Leatherheads', 'Red Planet', 'Species', ""Dante's Peak"", 'The Grudge 2']"
227,Knight and Day,"['Valkyrie', 'Mission: Impossible', 'Jerry Maguire', 'A Few Good Men', 'Top Gun', 'The Firm']"
228,Oblivion,"['Now You See Me', 'The Lego Movie', 'Se7en', 'Bruce Almighty', 'The Bucket List', 'The Sum of All Fears']"
229,Star Wars: Episode III - Revenge of the Sith,"['Star Wars: Episode I - The Phantom Menace', 'Star Wars: Episode II - Attack of the Clones', 'Inglourious Basterds', 'Star Trek', 'The Godfather', 'V for Vendetta']"
230,Star Wars: Episode II - Attack of the Clones,"['Star Wars: Episode III - Revenge of the Sith', 'Star Wars: Episode I - The Phantom Menace', 'The Matrix Reloaded', 'Star Trek', 'Harry Potter and the Goblet of Fire', ""Harry Potter and the Sorcerer's Stone""]"
231,"Monsters, Inc.","['Monsters University', 'Hotel Transylvania', 'Grown Ups', 'Con Air', 'Big Daddy', 'Hotel Transylvania 2']"
232,The Wolverine,"['Prisoners', 'Chappie', 'Real Steel', 'X-Men', 'X-Men 2', 'X-Men Origins: Wolverine']"
233,Star Wars: Episode I - The Phantom Menace,"['Star Wars: Episode III - Revenge of the Sith', 'Star Wars: Episode II - Attack of the Clones', 'The Hunger Games: Catching Fire', 'Skyfall', 'Skyfall', 'Star Trek']"
234,The Croods,"['Elf', 'Austin Powers: The Spy Who Shagged Me', 'The Fast and the Furious', 'The Fast and the Furious', 'The Ides of March', 'Mamma Mia!']"
235,Asterix at the Olympic Games,"['Raise the Titanic', 'Texas Rangers', 'Sheena', ""Can't Stop the Music"", 'Holy Man', 'The Young Messiah']"
236,Windtalkers,"['The Family Man', 'City of Angels', 'Bad Lieutenant: Port of Call New Orleans', 'Joe', ""The Sorcerer's Apprentice"", 'Lord of War']"
237,The Huntsman: Winter's War,"['Your Highness', 'Brothers', 'Blended', 'Brothers', 'Vacation', 'Date Night']"
238,Teenage Mutant Ninja Turtles,"['Teenage Mutant Ninja Turtles', 'Cinderella', 'Cinderella', '300: Rise of an Empire', 'Ghostbusters', 'Ghostbusters']"
239,Gravity,"['Man of Steel', 'Mad Max: Fury Road', 'Jurassic World', 'Deadpool', 'Guardians of the Galaxy', 'Skyfall']"
240,Dante's Peak,"['Broken Arrow', 'Eraser', 'Species', 'Stealth', 'Red Planet', 'Practical Magic']"
241,Teenage Mutant Ninja Turtles: Out of the Shadows,"['Hall Pass', 'The Spiderwick Chronicles', 'Annie', 'Tower Heist', 'Mirrors', 'The Box']"
242,Fantastic Four,"['After Earth', 'The Purge', 'Annabelle', 'Independence Day: Resurgence', 'Hansel & Gretel: Witch Hunters', 'Dracula Untold']"
243,Night at the Museum,"['Happy Feet', 'Aladdin', 'Mrs. Doubtfire', 'Night at the Museum: Battle of the Smithsonian', 'What Dreams May Come', 'Dead Poets Society']"
244,San Andreas,"['The Other Guys', 'The Mummy Returns', 'Hercules', 'Doom', 'Central Intelligence', 'Snitch']"
245,Tomorrow Never Dies,"['Hairspray', 'Eagle Eye', 'Scream 2', 'Dreamgirls', 'Alien: Resurrection', 'The Interpreter']"
246,The Patriot,"['Knocked Up', 'The Incredible Hulk', 'I, Robot', 'Silent Hill', 'The 40-Year-Old Virgin', 'Die Another Day']"
247,Ocean's Twelve,"[""Ocean's Eleven"", 'Traffic', ""Ocean's Thirteen"", 'Out of Sight', 'Sex, Lies, and Videotape', 'The Limey']"
248,Mr. & Mrs. Smith,"['Babel', 'Interview with the Vampire: The Vampire Chronicles', 'The Tree of Life', 'The Curious Case of Benjamin Button', 'Killing Them Softly', 'True Romance']"
249,Insurgent,"['Steve Jobs', 'The Holiday', 'The Reader', 'Carnage', 'Little Children', 'Triple 9']"
250,The Aviator,"['Gangs of New York', 'Shutter Island', 'The Departed', 'The Wolf of Wall Street', 'Hugo', 'The Last Temptation of Christ']"
251,Gulliver's Travels,"['The Haunted Mansion', 'The Darkest Hour', 'Anaconda', 'Black Christmas', 'The Boy Next Door', 'Hot Pursuit']"
252,The Green Hornet,"['Prince of Persia: The Sands of Time', 'Battle Los Angeles', 'The Heat', 'Scream 4', 'Neighbors', 'Predators']"
253,300: Rise of an Empire,"['Teenage Mutant Ninja Turtles', 'Teenage Mutant Ninja Turtles', 'Cinderella', 'Cinderella', 'Insidious', 'Evil Dead']"
254,The Smurfs,"['Paranormal Activity 3', 'Paranormal Activity 2', 'The SpongeBob Movie: Sponge Out of Water', 'Bad Teacher', 'Puss in Boots', 'Bee Movie']"
255,Home on the Range,"['Domestic Disturbance', 'I Think I Love My Wife', 'Escape from L.A.', '28 Days', 'Ed and His Dead Mother', 'Youth in Revolt']"
256,Allegiant,"['The International', 'I Heart Huckabees', 'The Ring Two', 'Fair Game', 'Funny Games', ""While We're Young""]"
257,Real Steel,"['Chappie', 'The Fountain', 'X-Men Origins: Wolverine', 'Rise of the Guardians', 'The Wolverine', 'X-Men']"
258,The Smurfs 2,"['Volcano', 'The Tuxedo', 'Congo', 'Hotel for Dogs', 'Jingle All the Way', 'Barnyard']"
259,Speed 2: Cruise Control,"['Basic Instinct 2', 'xXx: State of the Union', 'Gigli', 'Dragon Wars: D-War', 'The Musketeer', 'Did You Hear About the Morgans?']"
260,Ender's Game,"['Anchorman 2: The Legend Continues', '42', 'The Age of Adaline', 'Star Wars: Episode VI - Return of the Jedi', 'Star Wars: Episode V - The Empire Strikes Back', 'The Fugitive']"
261,Live Free or Die Hard,"['RED', 'Die Hard with a Vengeance', 'Lucky Number Slevin', 'Lucky Number Slevin', 'RED 2', 'A Good Day to Die Hard']"
262,The Lord of the Rings: The Fellowship of the Ring,"['The Lord of the Rings: The Return of the King', 'The Lord of the Rings: The Two Towers', 'The Hobbit: An Unexpected Journey', 'The Hobbit: The Desolation of Smaug', 'The Hobbit: The Battle of the Five Armies', 'The Lovely Bones']"
263,Around the World in 80 Days,"['Around the World in 80 Days', 'Arthur Christmas', 'The Crying Game', 'Another Year', ""Smilla's Sense of Snow"", 'Superman IV: The Quest for Peace']"
264,Ali,"['Australia', 'Dune', ""A Knight's Tale"", 'Enemy of the State', 'Memoirs of a Geisha', 'Waterworld']"
265,The Cat in the Hat,"['Alvin and the Chipmunks: Chipwrecked', 'Yogi Bear', 'Epic Movie', 'Crossroads', 'Date Movie', 'Boogeyman']"
266,"I, Robot","['Cars', 'The Incredible Hulk', 'Knocked Up', 'Superbad', 'Die Another Day', 'Chicago']"
267,Kingdom of Heaven,"['Robin Hood', 'The Counselor', 'Black Hawk Down', 'A Good Year', 'G.I. Jane', 'Alien']"
268,Stuart Little,"['Chicken Little', 'Dinosaur', 'Cheaper by the Dozen', 'Scary Movie 3', 'Scary Movie 4', 'Four Christmases']"
269,The Princess and the Frog,"['Cloudy with a Chance of Meatballs', 'Bad Grandpa', 'Hot Tub Time Machine', 'Mr. Peabody & Sherman', 'The Chronicles of Narnia: The Voyage of the Dawn Treader', 'Bad Santa']"
270,The Martian,"['Prometheus', 'Gladiator', 'Alien', 'Black Hawk Down', 'Robin Hood', 'The Counselor']"
271,The Island,"['The Island', '13 Hours', 'Bad Boys II', 'Bad Boys', 'Transformers: Age of Extinction', 'Pearl Harbor']"
272,Town & Country,"['Ishtar', 'Vampire in Brooklyn', 'One Direction: This Is Us', 'The In Crowd', 'I Can Do Bad All by Myself', 'A Madea Christmas']"
273,Gone in Sixty Seconds,"['Knowing', 'Ghost Rider', 'Face/Off', 'Lord of War', 'National Treasure', ""The Sorcerer's Apprentice""]"
274,Gladiator,"['Prometheus', 'Alien', 'Black Hawk Down', 'Robin Hood', 'The Counselor', 'A Good Year']"
275,Minority Report,"['War of the Worlds', 'E.T. the Extra-Terrestrial', 'Jurassic Park', 'Jaws', 'A.I. Artificial Intelligence', 'The Lost World: Jurassic Park']"
276,Harry Potter and the Chamber of Secrets,"['Independence Day', 'Harry Potter and the Order of the Phoenix', 'Harry Potter and the Prisoner of Azkaban', 'Brokeback Mountain', 'Harry Potter and the Half-Blood Prince', 'Die Hard']"
277,Casino Royale,"['Casino Royale', ""Harry Potter and the Sorcerer's Stone"", 'Terminator 2: Judgment Day', 'The Matrix Reloaded', 'Sin City', 'Kill Bill: Vol. 1']"
278,Planet of the Apes,"['Planet of the Apes', 'Batman', 'Batman Returns', 'Beetlejuice', 'Frankenweenie', 'Mars Attacks!']"
279,Terminator 2: Judgment Day,"['Sin City', 'Casino Royale', 'Casino Royale', ""Harry Potter and the Sorcerer's Stone"", '2001: A Space Odyssey', 'Slumdog Millionaire']"
280,Public Enemies,"['Rango', 'Black Mass', 'Transcendence', 'Finding Neverland', 'Blow', 'Fear and Loathing in Las Vegas']"
281,American Gangster,"['Black Hawk Down', 'Robin Hood', 'The Counselor', 'Alien', 'A Good Year', 'G.I. Jane']"
282,True Lies,"['Enemy of the State', 'GoldenEye', 'The Hunt for Red October', 'We Were Soldiers', 'Alien 3', 'Memoirs of a Geisha']"
283,The Taking of Pelham 1 2 3,"['2 Guns', 'The Manchurian Candidate', 'The Bone Collector', 'John Q', 'Unstoppable', 'Crimson Tide']"
284,Little Fockers,"['Hide and Seek', ""New Year's Eve"", 'Analyze This', 'Righteous Kill', 'Dirty Grandpa', 'Grudge Match']"
285,The Other Guys,"['Hercules', 'The Mummy Returns', 'Doom', 'Central Intelligence', 'Snitch', 'Snitch']"
286,Eraser,"[""The General's Daughter"", ""Dante's Peak"", 'Jaws 2', 'Entrapment', 'Broken Arrow', 'Red Tails']"
287,Django Unchained,"['The Revenant', 'Inception', 'Titanic', 'The Great Gatsby', 'The Great Gatsby', 'Blood Diamond']"
288,The Hunchback of Notre Dame,"['The Addams Family', ""Wayne's World"", 'Road Trip', 'Two Weeks Notice', 'The Santa Clause', '13 Going on 30']"
289,The Emperor's New Groove,"['Ace Ventura: Pet Detective', 'Chicken Run', 'Final Destination 2', 'The Hunchback of Notre Dame', 'Serendipity', 'The Curse of the Were-Rabbit']"
290,The Expendables 2,"['The Expendables', 'The Expendables 3', 'Furious 7', 'Snatch', 'Lock, Stock and Two Smoking Barrels', 'The Italian Job']"
291,National Treasure,"['Face/Off', 'Knowing', 'Gone in Sixty Seconds', 'Ghost Rider', 'Lord of War', ""The Sorcerer's Apprentice""]"
292,Eragon,"['AVP: Alien vs. Predator', 'Austin Powers in Goldmember', 'Hostel', 'Freddy vs. Jason', 'Snakes on a Plane', 'Snakes on a Plane']"
293,Where the Wild Things Are,"['Jack Ryan: Shadow Recruit', 'The Good Dinosaur', 'The American', 'Jack the Giant Slayer', 'The Purge: Anarchy', 'Identity Thief']"
294,Epic,"['Percy Jackson: Sea of Monsters', 'The Purge: Anarchy', 'ParaNorman', 'Resident Evil: Afterlife', 'Resident Evil: Extinction', 'Percy Jackson & the Olympians: The Lightning Thief']"
295,The Tourist,"['The Tourist', 'Transcendence', 'Rango', 'Black Mass', 'Alice Through the Looking Glass', 'Finding Neverland']"
296,End of Days,"['The Fast and the Furious: Tokyo Drift', 'Paycheck', 'Mission to Mars', 'Star Trek: Insurrection', 'Entrapment', 'Double Jeopardy']"
297,Blood Diamond,"['Revolutionary Road', 'Romeo + Juliet', 'The Beach', 'The Man in the Iron Mask', ""Marvin's Room"", 'The Great Gatsby']"
298,The Wolf of Wall Street,"['The Departed', 'Shutter Island', 'Gangs of New York', 'The Aviator', 'The Revenant', 'Django Unchained']"
299,Batman Forever,"['Batman & Robin', 'Phone Booth', 'The Number 23', 'The Lost Boys', 'The Client', 'Veronica Guerin']"
300,Starship Troopers,"['Sideways', 'Hellboy', 'The 40-Year-Old Virgin', 'As Good as It Gets', 'Underworld', 'Being John Malkovich']"
301,Cloud Atlas,"['Captain Phillips', 'The Green Mile', 'Toy Story 3', 'Saving Mr. Banks', 'Toy Story', 'Road to Perdition']"
302,Legend of the Guardians: The Owls of Ga'Hoole,"['Colombiana', 'Man on a Ledge', 'The Crazies', 'Daybreakers', 'Burlesque', 'Muppets Most Wanted']"
